OBJECTID,STATEFP,ELSDLEA,SCSDLEA,UNSDLEA,SDADMLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_YEAR,SCHOOLYEAR,Shape__Area,Shape__Length
3450,40, , ,07670, ,4007670,Chouteau-Mazie Public Schools,00,PK,12,G5420, ,E,340477582,9811140,+36.1653870,-095.3605573,2022,2021-2022,0.0350860701864804,1.1341991204375
3451,40, , ,07740, ,4007740,Claremore Public Schools,00,PK,12,G5420, ,E,86335385,730450,+36.2853300,-095.6420089,2022,2021-2022,0.00873461901437622,0.605146309390141
3452,40, , ,12090, ,4012090,Foyil Public Schools,00,PK,12,G5420, ,E,85744300,11125892,+36.4308728,-095.5447270,2022,2021-2022,0.00973532599300597,0.723348881825239
3453,40, , ,15480, ,4015480,Inola Public Schools,00,PK,12,G5420, ,E,259375608,3820011,+36.1550742,-095.5216991,2022,2021-2022,0.0263585036573204,0.827386472649071
3454,40, , ,19290, ,4019290,Maud Public Schools,00,PK,12,G5420, ,E,194883156,1908458,+35.1368499,-096.8230831,2022,2021-2022,0.0194622976182472,0.860317053550717
3455,40, , ,05130, ,4005130,Bowlegs Public Schools,00,PK,12,G5420, ,E,144288253,213729,+35.1218820,-096.6497158,2022,2021-2022,0.0142871378443488,0.854774991510095
3456,40, , ,27300, ,4027300,Seminole Public Schools,00,PK,12,G5420, ,E,149789567,596631,+35.2247169,-096.7151950,2022,2021-2022,0.0148891172752883,0.770992139204785
3457,40, , ,30990, ,4030990,Varnum Public Schools,00,PK,12,G5420, ,E,73504428,309236,+35.2805411,-096.6618230,2022,2021-2022,0.00731393989099161,0.454452891311886
3458,40, , ,14130, ,4014130,Healdton Public Schools,00,PK,12,G5420, ,E,252980884,1953859,+34.2887347,-097.4343254,2022,2021-2022,0.0249611658814501,1.01995750894588
3459,40, , ,13200, ,4013200,Grandfield Public Schools,00,PK,12,G5420, ,E,451289780,4655108,+34.2392187,-098.7403119,2022,2021-2022,0.0446138733798307,1.4710841259953
3460,40, , ,12150, ,4012150,Frederick Public Schools,00,PK,12,G5420, ,E,532944179,1525798,+34.3685804,-099.0204933,2022,2021-2022,0.0523834915068164,2.04330645936074
3461,40, , ,30030, ,4030030,Tipton Public Schools,00,PK,12,G5420, ,E,436116546,5326371,+34.5002921,-099.0365111,2022,2021-2022,0.0433307917910497,1.2832831863131
3462,40, , ,03000, ,4003000,Anadarko Public Schools,00,PK,12,G5420, ,E,282761187,1817277,+35.0673082,-098.2537055,2022,2021-2022,0.0281222096339206,1.17995743022395
3463,40, , ,33603, ,4033603,Binger-Oney Public Schools,00,PK,12,G5420, ,E,381562185,6777249,+35.2770562,-098.3328096,2022,2021-2022,0.0384712150362247,1.42182655762628
3464,40, , ,33602, ,4033602,Fort Cobb-Broxton Schools,00,PK,12,G5420, ,E,390645243,8902327,+35.0519896,-098.4232633,2022,2021-2022,0.0394780574899869,1.36206587914728
3465,40, , ,04230, ,4004230,Bethel Public Schools,00,PK,12,G5420, ,E,139818834,2954796,+35.3113657,-097.0450593,2022,2021-2022,0.0141501519585745,0.67017935297067
3466,40, , ,10500, ,4010500,Earlsboro Public Schools,00,PK,12,G5420, ,E,81115843,125571,+35.2762616,-096.8268220,2022,2021-2022,0.00804892322480555,0.779289928125074
3467,40, , ,29610, ,4029610,Tecumseh Public Schools,00,PK,12,G5420, ,E,221600032,498257,+35.2328555,-096.9772264,2022,2021-2022,0.0219919210237549,1.09467071529503
3468,40, , ,27570, ,4027570,Shawnee Public Schools,00,PK,12,G5420, ,E,65317466,484584,+35.3460553,-096.9430954,2022,2021-2022,0.00652450441384644,0.703382238282116
3469,40, , ,09390, ,4009390,Dale Public Schools,00,PK,12,G5420, ,E,104579790,2990403,+35.3971379,-097.0268705,2022,2021-2022,0.0106727181132555,0.735489464846189
3470,40, , ,31500, ,4031500,Wanette Public Schools,00,PK,12,G5420, ,E,342458946,2610304,+35.0288701,-097.0708675,2022,2021-2022,0.0340812244780864,0.845272106193096
3471,40, , ,00015, ,4000015,Thomas-Fay-Custer Unified Schools,00,PK,12,G5420, ,E,1198198003,2046598,+35.7636727,-098.8132778,2022,2021-2022,0.11961408891807,3.11239681272632
3472,40, , ,29430, ,4029430,Taloga Public Schools,00,KG,12,G5420, ,E,901010352,6199822,+35.9502779,-098.9412526,2022,2021-2022,0.0906332799220309,2.1797641669504
3473,40, , ,19410, ,4019410,McCurtain Public Schools,00,PK,12,G5420, ,E,270106639,1958925,+35.1245406,-094.9927384,2022,2021-2022,0.0269071554698712,0.876513612845385
